time_ps,RMSD_conformation_A,heavy_geometric_radius_A,series,included
294.0,0.958684,5.329935,bound_09h_1ns,True
296.0,0.9471079,5.271251,bound_09h_1ns,True
298.0,0.8961311,5.346339,bound_09h_1ns,True
300.0,0.9558314,5.3280444,bound_09h_1ns,True
302.0,1.0084916,5.305463,bound_09h_1ns,True
304.0,1.2902026,5.261261,bound_09h_1ns,True
306.0,1.2819109,5.193404,bound_09h_1ns,True
308.0,0.9650707,5.196443,bound_09h_1ns,True
310.0,0.9582263,5.304016,bound_09h_1ns,True
312.0,1.0489179,5.236615,bound_09h_1ns,True
314.0,1.0027035,5.3789425,bound_09h_1ns,True
316.0,1.1452737,5.271642,bound_09h_1ns,True
318.0,1.1029682,5.2625265,bound_09h_1ns,True
320.0,1.1008449,5.331226,bound_09h_1ns,True
322.0,1.2034061,5.2021413,bound_09h_1ns,True
324.0,1.1191665,5.229044,bound_09h_1ns,True
326.0,1.016623,5.3433557,bound_09h_1ns,True
328.0,1.0225251,5.2671857,bound_09h_1ns,True
330.0,1.11275,5.2867155,bound_09h_1ns,True
332.0,1.1759586,5.3538375,bound_09h_1ns,True
334.0,1.0807154,5.301031,bound_09h_1ns,True
336.0,1.1386261,5.3128123,bound_09h_1ns,True
338.0,1.0003515,5.3328233,bound_09h_1ns,True
340.0,1.175031,5.2643704,bound_09h_1ns,True
342.0,0.9548831,5.3117294,bound_09h_1ns,True
344.0,1.0117332,5.283177,bound_09h_1ns,True
346.0,1.0277472,5.3179235,bound_09h_1ns,True
348.0,0.9367163,5.333088,bound_09h_1ns,True
350.0,1.0555221,5.292136,bound_09h_1ns,True
352.0,0.9288678,5.2011833,bound_09h_1ns,True
354.0,0.9054127,5.336626,bound_09h_1ns,True
356.0,0.6874612,5.191678,bound_09h_1ns,True
358.0,0.813315,5.273414,bound_09h_1ns,True
360.0,1.021234,5.2523327,bound_09h_1ns,True
362.0,1.0666891,5.1815023,bound_09h_1ns,True
364.0,1.0941728,5.174448,bound_09h_1ns,True
366.0,0.958286,5.152502,bound_09h_1ns,True
368.0,0.7234674,5.1612086,bound_09h_1ns,True
370.0,0.9000177,5.2691565,bound_09h_1ns,True
372.0,1.0322177,5.228072,bound_09h_1ns,True
374.0,0.90512466,5.159455,bound_09h_1ns,True
376.0,0.9715153,5.143531,bound_09h_1ns,True
378.0,1.0263188,5.2031326,bound_09h_1ns,True
380.0,1.0212699,5.1447105,bound_09h_1ns,True
382.0,1.0445735,5.1703143,bound_09h_1ns,True
384.0,1.1606724,5.211217,bound_09h_1ns,True
386.0,1.1034422,5.1867275,bound_09h_1ns,True
388.0,1.1266699,5.206819,bound_09h_1ns,True
390.0,0.7487163,5.3027773,bound_09h_1ns,True
392.0,0.76484233,5.2100706,bound_09h_1ns,True
394.0,0.74159193,5.228657,bound_09h_1ns,True
396.0,0.79572767,5.302188,bound_09h_1ns,True
398.0,0.8218341,5.2516704,bound_09h_1ns,True
400.0,0.7484445,5.2929473,bound_09h_1ns,True
402.0,0.9099306,5.2442594,bound_09h_1ns,True
404.0,0.9531137,5.247056,bound_09h_1ns,True
406.0,1.163367,5.382725,bound_09h_1ns,True
408.0,1.1683241,5.3221564,bound_09h_1ns,True
410.0,0.8108841,5.2552357,bound_09h_1ns,True
412.0,0.8459985,5.2160025,bound_09h_1ns,True
414.0,0.8721346,5.2001023,bound_09h_1ns,True
416.0,0.96402764,5.222196,bound_09h_1ns,True
418.0,0.80446863,5.3323607,bound_09h_1ns,True
420.0,1.107214,5.1906166,bound_09h_1ns,True
422.0,0.84176064,5.325798,bound_09h_1ns,True
424.0,1.1324561,5.294661,bound_09h_1ns,True
426.0,1.0483965,5.317955,bound_09h_1ns,True
428.0,1.1465166,5.2427664,bound_09h_1ns,True
430.0,1.0188735,5.1477094,bound_09h_1ns,True
432.0,0.9035992,5.239796,bound_09h_1ns,True
434.0,0.97954303,5.248562,bound_09h_1ns,True
436.0,0.91622525,5.271721,bound_09h_1ns,True
438.0,1.0043697,5.1750035,bound_09h_1ns,True
440.0,0.9080001,5.2434893,bound_09h_1ns,True
442.0,1.0728596,5.257351,bound_09h_1ns,True
444.0,0.98689365,5.171881,bound_09h_1ns,True
446.0,1.0293018,5.295582,bound_09h_1ns,True
448.0,1.0048349,5.3564954,bound_09h_1ns,True
450.0,1.0735823,5.3853674,bound_09h_1ns,True
452.0,1.1863098,5.4048305,bound_09h_1ns,True
454.0,1.1586603,5.273494,bound_09h_1ns,True
456.0,1.2213762,5.148905,bound_09h_1ns,True
458.0,1.0685635,5.2969303,bound_09h_1ns,True
460.0,1.1757396,5.269962,bound_09h_1ns,True
462.0,1.1483644,5.233693,bound_09h_1ns,True
464.0,1.0796854,5.156532,bound_09h_1ns,True
466.0,1.0169122,5.201597,bound_09h_1ns,True
468.0,1.0634552,5.2565246,bound_09h_1ns,True
470.0,0.92063135,5.317612,bound_09h_1ns,True
472.0,1.0980808,5.2484617,bound_09h_1ns,True
474.0,0.9114787,5.1554146,bound_09h_1ns,True
476.0,1.040098,5.2630596,bound_09h_1ns,True
478.0,1.0940087,5.343954,bound_09h_1ns,True
480.0,1.0913147,5.2257376,bound_09h_1ns,True
482.0,1.0858948,5.26877,bound_09h_1ns,True
484.0,1.0416708,5.284685,bound_09h_1ns,True
486.0,0.9465069,5.3676643,bound_09h_1ns,True
488.0,1.0055116,5.273227,bound_09h_1ns,True
490.0,0.9263868,5.219885,bound_09h_1ns,True
492.0,0.895865,5.2184553,bound_09h_1ns,True
494.0,1.2107419,5.1816487,bound_09h_1ns,True
496.0,0.97138596,5.2883797,bound_09h_1ns,True
498.0,0.95932543,5.1994085,bound_09h_1ns,True
500.0,1.0581781,5.238481,bound_09h_1ns,True
502.0,0.92615,5.254617,bound_09h_1ns,True
504.0,1.0792819,5.239642,bound_09h_1ns,True
506.0,1.1464472,5.2537975,bound_09h_1ns,True
508.0,0.8450323,5.2551985,bound_09h_1ns,True
510.0,0.90791607,5.2900343,bound_09h_1ns,True
512.0,0.7930585,5.224432,bound_09h_1ns,True
514.0,0.8545712,5.2370205,bound_09h_1ns,True
516.0,0.89482474,5.2616653,bound_09h_1ns,True
518.0,0.86317116,5.192642,bound_09h_1ns,True
520.0,0.94622815,5.228228,bound_09h_1ns,True
522.0,0.832346,5.258637,bound_09h_1ns,True
524.0,0.86579853,5.25728,bound_09h_1ns,True
526.0,1.0081102,5.3171196,bound_09h_1ns,True
528.0,1.0062101,5.294448,bound_09h_1ns,True
530.0,1.0364437,5.229354,bound_09h_1ns,True
532.0,0.81266975,5.202569,bound_09h_1ns,True
534.0,0.7986028,5.119,bound_09h_1ns,True
536.0,0.9071963,5.1479316,bound_09h_1ns,True
538.0,0.78352535,5.2199316,bound_09h_1ns,True
540.0,0.8762946,5.1472654,bound_09h_1ns,True
542.0,0.7210797,5.241692,bound_09h_1ns,True
544.0,0.7898574,5.223312,bound_09h_1ns,True
546.0,0.91118044,5.2419972,bound_09h_1ns,True
548.0,0.8558499,5.2224135,bound_09h_1ns,True
550.0,0.8811206,5.194419,bound_09h_1ns,True
552.0,0.8133345,5.1420994,bound_09h_1ns,True
554.0,0.9105697,5.19624,bound_09h_1ns,True
556.0,1.0429791,5.2442555,bound_09h_1ns,True
558.0,0.90637064,5.355564,bound_09h_1ns,True
560.0,1.0138142,5.3125553,bound_09h_1ns,True
562.0,1.05672,5.3698897,bound_09h_1ns,True
564.0,0.8913293,5.234277,bound_09h_1ns,True
566.0,1.1349698,5.2253113,bound_09h_1ns,True
568.0,1.0191526,5.3418913,bound_09h_1ns,True
570.0,1.0747764,5.2074156,bound_09h_1ns,True
572.0,1.1662366,5.2394366,bound_09h_1ns,True
574.0,1.0793688,5.1240053,bound_09h_1ns,True
576.0,0.9166675,5.1330047,bound_09h_1ns,True
578.0,0.97116345,5.325043,bound_09h_1ns,True
580.0,0.86513007,5.2778854,bound_09h_1ns,True
582.0,0.7674729,5.280917,bound_09h_1ns,True
584.0,0.8625061,5.3128695,bound_09h_1ns,True
586.0,0.95445013,5.0909896,bound_09h_1ns,True
588.0,0.84748894,5.3323174,bound_09h_1ns,True
590.0,0.89197284,5.1642294,bound_09h_1ns,True
592.0,0.7488522,5.2669497,bound_09h_1ns,True
594.0,0.83497334,5.288007,bound_09h_1ns,True
596.0,0.8884143,5.3890367,bound_09h_1ns,True
598.0,0.9516282,5.3443384,bound_09h_1ns,True
600.0,0.829561,5.279108,bound_09h_1ns,True
602.0,1.0740175,5.3440566,bound_09h_1ns,True
604.0,0.9376729,5.2924995,bound_09h_1ns,True
606.0,0.977376,5.27478,bound_09h_1ns,True
608.0,1.139957,5.360727,bound_09h_1ns,True
610.0,1.4738482,5.350208,bound_09h_1ns,True
612.0,1.3123198,5.3234377,bound_09h_1ns,True
614.0,1.0776106,5.320596,bound_09h_1ns,True
616.0,0.74088424,5.2899737,bound_09h_1ns,True
618.0,0.97878647,5.2149563,bound_09h_1ns,True
620.0,0.9048647,5.250127,bound_09h_1ns,True
622.0,0.95165163,5.376373,bound_09h_1ns,True
624.0,1.0980489,5.223866,bound_09h_1ns,True
626.0,1.0653219,5.2532487,bound_09h_1ns,True
628.0,1.0681589,5.0783577,bound_09h_1ns,True
