time_ps,RMSD_conformation_A,heavy_geometric_radius_A,protein_CA_RMSD_A,ligand_EGFR_fit_RMSD_A,site_center_distance_A,series,included
1090.0,1.494246,5.229266,3.9904094,3.9949603,0.45724714,replica_01_seed20260931,False
1100.0,1.7076883,5.292113,4.2294354,4.117351,0.46517566,replica_01_seed20260931,False
1110.0,1.729161,5.2396803,4.1774316,3.752594,0.5418044,replica_01_seed20260931,False
1120.0,1.6821856,5.3703113,4.424349,4.01559,0.6181157,replica_01_seed20260931,False
1130.0,1.6120431,5.185959,4.4457126,4.40055,0.4536246,replica_01_seed20260931,False
1140.0,1.4337943,5.1817265,4.5472174,4.263212,0.52622783,replica_01_seed20260931,False
1150.0,1.3998902,5.3079405,4.564709,3.9408472,0.3152649,replica_01_seed20260931,False
1160.0,1.5116103,5.0773544,4.615045,3.9949584,0.4096927,replica_01_seed20260931,False
1170.0,1.5850414,5.1185374,4.4062037,4.076162,0.39613262,replica_01_seed20260931,False
1180.0,1.5589294,5.3409934,4.7010713,4.050732,0.3385818,replica_01_seed20260931,False
1190.0,1.4676578,5.263209,4.467235,4.2082853,0.64554626,replica_01_seed20260931,False
1200.0,1.5205489,5.3216667,4.644616,3.8583817,0.62348056,replica_01_seed20260931,False
1210.0,1.4012271,5.2197647,4.6685047,3.7236962,0.6080251,replica_01_seed20260931,False
1220.0,1.4871202,5.243609,4.6518717,3.9698079,0.39555904,replica_01_seed20260931,False
1230.0,1.4213743,5.309494,4.7610483,4.0612993,0.53048235,replica_01_seed20260931,False
1240.0,1.2849054,5.216052,4.7486124,4.353983,0.87689257,replica_01_seed20260931,False
1250.0,1.3382137,5.1638794,4.741296,4.539324,0.6756956,replica_01_seed20260931,False
1260.0,1.5012014,5.0956545,4.945656,4.189811,0.932386,replica_01_seed20260931,False
1270.0,1.3631065,5.2400866,4.7145567,4.3466587,1.0536276,replica_01_seed20260931,False
1280.0,1.2389971,5.219283,4.712297,4.288957,0.69522256,replica_01_seed20260931,False
1290.0,1.1774607,5.267866,4.752437,4.693892,0.66801167,replica_01_seed20260931,False
1300.0,1.1399584,5.24804,4.736082,4.488391,0.6946749,replica_01_seed20260931,False
1310.0,1.2532574,5.1722836,4.5561395,4.125263,0.7022446,replica_01_seed20260931,False
1320.0,1.4411165,5.1599054,4.529193,4.50708,0.4698211,replica_01_seed20260931,False
1330.0,1.740046,5.190467,4.7036724,4.7333617,0.45148867,replica_01_seed20260931,False
1340.0,1.594393,5.204284,4.684084,4.24524,0.7212904,replica_01_seed20260931,False
1350.0,1.2469674,5.282955,4.6794014,4.2773724,0.20297639,replica_01_seed20260931,False
